,Date,HomeTeam,AwayTeam,RunsHome,RunsAway,Inn,Win,Loss,Save,Time,Attendance
7,"Thursday, Apr 8",BAL,BOS,3.0,7.0,9.0,Rodriguez,Harvey,None,3:08,10150.0
8,"Saturday, Apr 10",BAL,BOS,4.0,6.0,10.0,Barnes,Tate,Andriese,3:34,9307.0
9,"Sunday, Apr 11",BAL,BOS,9.0,14.0,9.0,Pivetta,Lopez,None,3:46,8171.0
10,"Tuesday, Apr 13 (1)",BAL,SEA,3.0,4.0,8.0,Montero,Scott,Graveman,2:26,
11,"Tuesday, Apr 13 (2)",BAL,SEA,7.0,6.0,7.0,Valdez,Sadler,None,2:38,4147.0
12,"Thursday, Apr 15 (1)",BAL,SEA,2.0,4.0,7.0,Gonzales,Scott,Graveman,2:23,
13,"Thursday, Apr 15 (2)",BAL,SEA,1.0,2.0,7.0,Dunn,Zimmermann,Middleton,2:01,5060.0
19,"Friday, Apr 23",BAL,OAK,1.0,3.0,9.0,Irvin,Lopez,Diekman,2:53,7574.0
20,"Saturday, Apr 24",BAL,OAK,2.0,7.0,9.0,Bassitt,LeBlanc,None,3:19,7616.0
21,"Sunday, Apr 25",BAL,OAK,8.0,1.0,9.0,Means,Luzardo,None,2:56,8107.0
22,"Monday, Apr 26",BAL,NYY,4.0,2.0,9.0,Harvey,Garcia,Valdez,2:41,6367.0
23,"Tuesday, Apr 27",BAL,NYY,1.0,5.0,9.0,Kluber,Zimmermann,None,2:53,6662.0
24,"Wednesday, Apr 28",BAL,NYY,0.0,7.0,9.0,German,Kremer,None,2:33,7338.0
25,"Thursday, Apr 29",BAL,NYY,4.0,3.0,10.0,Scott,Loaisiga,None,3:30,7738.0
32,"Friday, May 7",BAL,BOS,2.0,6.0,9.0,Rodriguez,Harvey,None,3:25,7724.0
33,"Saturday, May 8",BAL,BOS,6.0,11.0,9.0,Richards,Lowther,None,3:25,10598.0
34,"Sunday, May 9",BAL,BOS,3.0,4.0,9.0,Pivetta,Kremer,Barnes,2:57,10274.0
35,"Monday, May 10",BAL,BOS,4.0,1.0,9.0,Scott,Andriese,Valdez,2:45,6826.0
38,"Friday, May 14",BAL,NYY,4.0,5.0,9.0,Kluber,Lakins,Loaisiga,2:55,10809.0
39,"Saturday, May 15",BAL,NYY,2.0,8.0,9.0,German,Lopez,None,3:03,10767.0
40,"Sunday, May 16",BAL,NYY,10.0,6.0,9.0,Zimmermann,King,None,3:13,11070.0
41,"Tuesday, May 18",BAL,TBR,6.0,13.0,9.0,Kittredge,Harvey,None,3:42,5429.0
42,"Wednesday, May 19",BAL,TBR,7.0,9.0,9.0,Thompson,Fry,Fairbanks,3:12,6581.0
43,"Thursday, May 20",BAL,TBR,1.0,10.0,9.0,Hill,Kremer,None,3:14,6916.0
54,"Monday, May 31",BAL,MIN,2.0,3.0,10.0,Rogers,Plutko,Robles,2:53,11010.0
55,"Tuesday, Jun 1",BAL,MIN,7.0,4.0,9.0,Zimmermann,Pineda,Sulser,3:21,5337.0
56,"Wednesday, Jun 2",BAL,MIN,6.0,3.0,9.0,Wells,Dobnak,None,2:54,5945.0
57,"Friday, Jun 4",BAL,CLE,3.0,1.0,9.0,Sulser,Shaw,Fry,2:50,12009.0
58,"Saturday, Jun 5",BAL,CLE,4.0,10.0,9.0,Civale,Means,None,3:28,9969.0
59,"Sunday, Jun 6",BAL,CLE,18.0,5.0,9.0,Lopez,Quantrill,None,3:10,9423.0
60,"Tuesday, Jun 8",BAL,NYM,10.0,3.0,9.0,Zimmermann,Peterson,None,3:14,9431.0
61,"Wednesday, Jun 9",BAL,NYM,1.0,14.0,9.0,Walker,Harvey,None,2:43,9584.0
69,"Friday, Jun 18",BAL,TOR,7.0,1.0,9.0,Wells,Ray,None,3:10,13284.0
70,"Saturday, Jun 19",BAL,TOR,7.0,10.0,9.0,Romano,Fry,None,3:10,10721.0
71,"Sunday, Jun 20",BAL,TOR,4.0,7.0,9.0,Ryu,Harvey,Chatwood,3:05,14917.0
72,"Monday, Jun 21",BAL,HOU,2.0,10.0,9.0,Odorizzi,Akin,None,3:40,7414.0
73,"Tuesday, Jun 22",BAL,HOU,1.0,3.0,9.0,Greinke,Lopez,Pressly,2:55,8510.0
74,"Wednesday, Jun 23",BAL,HOU,0.0,13.0,9.0,Urquidy,Eshelman,None,2:46,10013.0
85,"Tuesday, Jul 6",BAL,TOR,7.0,5.0,9.0,Watkins,Matz,None,3:03,7388.0
86,"Wednesday, Jul 7",BAL,TOR,2.0,10.0,9.0,Ryu,Harvey,None,3:23,7457.0
87,"Friday, Jul 9",BAL,CHW,1.0,12.0,9.0,Keuchel,Lopez,None,3:30,12077.0
88,"Saturday, Jul 10",BAL,CHW,3.0,8.0,9.0,Giolito,Eshelman,Hendriks,3:24,26391.0
89,"Sunday, Jul 11",BAL,CHW,5.0,7.0,10.0,Hendriks,Wells,Foster,3:47,11600.0
96,"Friday, Jul 23",BAL,WSN,6.0,1.0,9.0,Fry,Corbin,None,2:47,17022.0
97,"Saturday, Jul 24",BAL,WSN,5.0,3.0,9.0,Harvey,Lester,Tate,2:41,30898.0
98,"Sunday, Jul 25",BAL,WSN,5.0,4.0,9.0,Sulser,Hand,None,3:18,15690.0
99,"Tuesday, Jul 27",BAL,MIA,3.0,7.0,9.0,Alcantara,Watkins,None,3:06,10098.0
100,"Wednesday, Jul 28",BAL,MIA,8.0,7.0,9.0,Scott,Okert,None,3:32,8363.0
108,"Friday, Aug 6",BAL,TBR,6.0,10.0,9.0,Rasmussen,Fry,None,3:47,11320.0
109,"Saturday, Aug 7",BAL,TBR,3.0,12.0,9.0,McClanahan,Watkins,None,3:02,18545.0
110,"Sunday, Aug 8",BAL,TBR,6.0,9.0,9.0,Chargois,Fry,None,3:32,10576.0
111,"Tuesday, Aug 10",BAL,DET,4.0,9.0,9.0,Funkhouser,Akin,None,3:13,7124.0
112,"Wednesday, Aug 11",BAL,DET,2.0,5.0,9.0,Skubal,Harvey,Soto,3:01,8990.0
113,"Thursday, Aug 12",BAL,DET,4.0,6.0,9.0,Manning,Means,Fulmer,3:00,8382.0
121,"Friday, Aug 20",BAL,ATL,0.0,3.0,9.0,Fried,Akin,None,2:29,13583.0
122,"Saturday, Aug 21",BAL,ATL,4.0,5.0,9.0,Smyly,Harvey,Smith,3:01,15774.0
