Team,Date,Runs,Win,RunsAllowed,Loss
ARI,2021-04-01,7.0,0,8.0,1
ARI,2021-04-02,9.0,0,12.0,2
ARI,2021-04-03,9.0,0,19.0,3
ARI,2021-04-04,12.0,1,20.0,3
ARI,2021-04-06,22.0,2,28.0,3
ARI,2021-04-07,22.0,2,36.0,4
ARI,2021-04-08,25.0,2,43.0,5
ARI,2021-04-09,30.0,2,49.0,6
ARI,2021-04-10,38.0,3,52.0,6
ARI,2021-04-11,45.0,4,52.0,6
ARI,2021-04-12,50.0,4,61.0,7
ARI,2021-04-13,55.0,4,68.0,8
ARI,2021-04-15,66.0,5,74.0,8
ARI,2021-04-16,66.0,5,75.0,9
ARI,2021-04-17,68.0,5,81.0,10
ARI,2021-04-18,73.0,6,83.0,10
ARI,2021-04-20,78.0,7,87.0,10
ARI,2021-04-21,86.0,8,92.0,10
ARI,2021-04-22,100.0,9,103.0,10
ARI,2021-04-23,104.0,9,108.0,11
ARI,2021-04-25,116.0,11,108.0,11
ARI,2021-04-27,121.0,12,109.0,11
ARI,2021-04-28,124.0,12,121.0,12
ARI,2021-04-29,129.0,13,124.0,12
ARI,2021-04-30,136.0,14,126.0,12
ARI,2021-05-01,142.0,14,140.0,13
ARI,2021-05-02,150.0,15,144.0,13
ARI,2021-05-04,153.0,15,153.0,14
ARI,2021-05-05,153.0,15,161.0,15
ARI,2021-05-06,154.0,15,164.0,16
ARI,2021-05-07,158.0,15,169.0,17
ARI,2021-05-08,160.0,15,173.0,18
ARI,2021-05-09,162.0,15,177.0,19
ARI,2021-05-10,167.0,16,179.0,19
ARI,2021-05-11,178.0,17,182.0,19
ARI,2021-05-12,180.0,17,185.0,20
ARI,2021-05-13,181.0,17,190.0,21
ARI,2021-05-14,183.0,17,207.0,22
ARI,2021-05-15,194.0,18,211.0,22
ARI,2021-05-16,194.0,18,214.0,23
ARI,2021-05-17,195.0,18,217.0,24
ARI,2021-05-18,196.0,18,226.0,25
ARI,2021-05-19,198.0,18,230.0,26
ARI,2021-05-20,200.0,18,233.0,27
ARI,2021-05-21,201.0,18,240.0,28
ARI,2021-05-22,207.0,18,247.0,29
ARI,2021-05-23,210.0,18,251.0,30
ARI,2021-05-25,210.0,18,259.0,31
ARI,2021-05-26,214.0,18,264.0,32
ARI,2021-05-27,218.0,18,269.0,33
ARI,2021-05-28,224.0,18,277.0,34
ARI,2021-05-29,228.0,18,284.0,35
ARI,2021-05-30,237.0,19,286.0,35
ARI,2021-05-31,239.0,19,292.0,36
ARI,2021-06-01,245.0,20,297.0,36
ARI,2021-06-02,251.0,20,304.0,37
ARI,2021-06-03,255.0,20,311.0,38
ARI,2021-06-04,256.0,20,316.0,39
ARI,2021-06-05,261.0,20,323.0,40
ARI,2021-06-06,261.0,20,325.0,41
ARI,2021-06-08,263.0,20,330.0,42
ARI,2021-06-09,263.0,20,334.0,43
ARI,2021-06-11,268.0,20,340.0,44
ARI,2021-06-12,275.0,20,348.0,45
ARI,2021-06-13,278.0,20,358.0,46
ARI,2021-06-14,280.0,20,363.0,47
ARI,2021-06-15,288.0,20,372.0,48
ARI,2021-06-16,295.0,20,385.0,49
ARI,2021-06-17,298.0,20,395.0,50
ARI,2021-06-18,298.0,20,398.0,51
ARI,2021-06-19,301.0,20,407.0,52
ARI,2021-06-20,309.0,20,416.0,53
ARI,2021-06-21,314.0,21,417.0,53
ARI,2021-06-22,314.0,21,422.0,54
ARI,2021-06-23,316.0,21,425.0,55
ARI,2021-06-25,321.0,21,436.0,56
ARI,2021-06-26,331.0,22,437.0,56
ARI,2021-06-27,335.0,22,442.0,57
ARI,2021-06-28,336.0,22,449.0,58
ARI,2021-06-29,338.0,22,452.0,59
ARI,2021-06-30,342.0,22,459.0,60
ARI,2021-07-01,347.0,23,462.0,60
ARI,2021-07-02,351.0,23,473.0,61
ARI,2021-07-03,356.0,23,479.0,62
ARI,2021-07-04,358.0,23,484.0,63
